invoice_number,voucher_number,voucher_type,invoice_date,due_date,financial_year,payment_status,payment_mode,credit_period,debit_amount,credit_amount,outstanding_balance,gst_number,gst_type,state,tax_amount,discount_,currency,hospital_name,hospital_type,doctor_name,doctor_specialty,surgeon_id,hospital_gst,city,territory,sales_executive,distributor_name,branch,product_name,product_category,implant_type,batch_number,lot_number,udi_code,serial_number,sterilization_status,expiry_date,manufacturing_date,quantity,unit,rate,mrp,surgery_type,implant_material,brand,warehouse,dispatch_date,delivery_status,courier_partner,stock_availability,reorder_level,inventory_balance,return_status,narration,export_note,primary_key
INV/1000,VCH1000,Sales,2026-01-15,2026-01-30,2025-26,Partially Paid,cash,15,5664.0,5664.0,2832.0,27AAACT1234F1Z5,CGST/SGST,Gujarat,864.0,0.00,Rs.,Apex Hospital,Multi-Specialty Hospital,Dr. R. Kulkarni,Trauma Surgeon,SURG-003,27ABCDE1234F1Z1,Mumbai,West-1,Amit Verma,ORTHO DISTRIBUTORS,Central-1,Cancellous Screw,Orthopedic Implant,Screw,B1106-A,L65392,UDI-571029-C,SN391704,Non-Sterile,46402,2025/12/16,2,Pieces,"₹2,400.00",2880,Fracture Fixation,Stainless Steel,TraumaFix,Pune Main,18-01-2026,Hold,Delhivery,In Stock,20,5,No,"Revised invoice after doctor change,
please verify branch mapping",Text numeric field,cf1d239e8f6a88a9f7d7ce46b348c754
INV/1000,VCH1000,Sales Return,2026-01-15,2026-02-14,2025-26,Partially Paid,RTGS,30,20071.8,20071.8,15053.85,27AAACT1234F1Z5,GST,Karnataka,3061.8,10,Rs.,ORTHO CARE CENTRE,Orthopedic Clinic,dr. r. kulkarni,Trauma Surgeon,SURG-003,24FGHIJ5678K1Z2,Pune,Central 1,S. Joshi,Trauma Supplies,CENTRAL 1,Bone Drill Set,Surgical Instrument,Instrument,B6155-A,L95909,UDI-380746-A,SN321231,Sterile,03-07-2028,2025/09/17,10,BOX,1890.00,2079,Surgical Prep,Steel,SpinePro,Mumbai WH,16-01-2026,Delivered,Blue Dart,Reorder,5,5,Pending,"Revised invoice after doctor change,
please verify branch mapping	tabbed-remark",Unicode NBSP present,c76c1976a6d99a5efded35f1ef795f75
INV/1001,VCH1001,Sales Return,2025-06-20,2025-07-05,2025-26,Partially Paid,Cheque,30,63787.5,63787.5,0.0,24BBBCD2345G1Z2,CGST/SGST,Gujarat,3037.5,10,INR,SPINE & JOINT INSTITUTE,Orthopedic Clinic,Dr. Anil Sharma,Orthopedic Surgeon,SURG-001,27ABCDE1234F1Z1,Ahmedabad,WEST 1,Rahul Mehta,Ortho Distributors,South-1,Bone Drill Set,Surgical Instrument,Instrument,B2290-A,L73699,UDI-160738-A,SN694916,Non-Sterile,12-12-2026,21 Apr 2025,10,PCS,"₹6,750.00","₹8,100.00",Surgical Prep,Steel,JointMax,Mumbai WH,22-06-2025,Partially Delivered,Delhivery,Reorder,20,20,No,"Dispatch against PO; follow-up due on next cycle
Export note retained as multiline remark	tabbed-remark",Alias master matched,9c7e2d7295e7d9b4dfe6bfe060e8a3e5
inv/1001,VCH1001,Sales Return,2025-06-20,2025-07-20,2025-26,Adjusted,Bank Transfer,60,54600.0,54600.0,54600.0,27AAACT1234F1Z5,CGST+SGST,Karnataka,5850.0,2.5%,INR,spine & joint institute,Orthopedic Clinic,dr meera iyer,Joint Replacement Surgeon,SURG-002,27ABCDE1234F1Z1,Ahmedabad,Central,Rahul Mehta,Trauma Supplies,West-1,External Fixator,Trauma Fixation,Fixator,B2790-A,L35112,UDI-863587-B,SN939482,Non-Sterile,07-12-2027,21 May 2025,2,pcs,"₹25,000.00","27,500.00",Trauma Stabilization,Aluminium,JointMax,Pune Main,20-06-2025,Delivered,Delhivery,In Stock,10,5,Pending,"Revised invoice after doctor change,
please verify branch mapping",Unicode NBSP present,ef3b31b08c3c60a61a20abb2731aa6ad
INV/1001,VCH1001,Sales,2025-06-20,2025-08-19,2025-26,Pending,Cheque,15,12468.75,12468.75,0.0,24BBBCD2345G1Z2,CGST/SGST,Karnataka,593.75,5,Rs.,ORTHO CARE CENTRE,Orthopedic Clinic,DR. ANIL SHARMA,Orthopedic Surgeon,SURG-001,27ABCDE1234F1Z1,Pune,Central 1,R. Mehta,Ortho Distributors Pvt Ltd,WEST 1,External Fixator,Trauma Fixation,Fixator,B2343-B,L96163,UDI-723398-A,SN749468,Sterile,2026/06/20,21-05-2025,10,Box,1250.00,"₹1,375.00",Trauma Stabilization,Aluminium,JointMax,Ahmedabad WH,2025/06/21,Hold,Delhivery,Low Stock,10,5,nan,Part payment received; balance pending,Unicode NBSP present,b7f531eb88f172eabc4a33df72985bf9
INV/1002,VCH1002,Sales,2024-07-28,2024-09-11,2024-25,Adjusted,NEFT,60,17955.0,17955.0,8977.5,27AAACT1234F1Z5,GST,Maharashtra,855.0,5 %,Rs.,SPINE AND JOINT INSTITUTE,Orthopedic Clinic,DR. MEERA IYER,Joint Replacement Surgeon,SURG-002,27ABCDE1234F1Z1,Ahmedabad,West,Rahul Mehta,ORTHO DISTRIBUTORS,W1,Spinal Rod,Spinal Implant,Rod,B1158-A,L19862,UDI-678478-C,SN548462,Non-Sterile,28 Jul 2025,29-04-2024,4 PCS,pcs,4500,5400,Spine Stabilization,Titanium Alloy,JointMax,Pune WH,2024/07/31,Partially Delivered,Delhivery,Low Stock,5,8,Pending,Exported from Tally	with master alias,Unicode NBSP present,74d32d563f66664329edaf0dbcc9e92f
INV/1002,VCH1002,Sales Return,2024-07-28,2024-08-27,2024-25,Paid,NEFT,60,53200.0,53200.0,53200.0,29CCCDD3456H1Z3,CGST/SGST,Karnataka,5700.0,5 %,INR,Apex Hospital,Multi-Specialty Hospital,Dr P Nair,Spine Surgeon,SURG-004,27ABCDE1234F1Z1,Mumbai,WEST 1,S. Joshi,Ortho Distributors Pvt Ltd,W1,Cancellous Screw,Orthopedic Implant,Screw,B3925-C,L44795,UDI-128941-A,SN373903,Non-Sterile,14 Jan 2027,2024/05/29,2,PCS,25000,"30,000.00",Fracture Fixation,Stainless Steel,OSM,Pune Main,2024/07/28,In Transit,Professional Couriers,Reserved,20,8,Yes,Freight included; round-off applied,Name variation retained,de794943226847f759b1598b70fd8785
INV/1003,VCH1003,Sales Return,2025-10-14,2025-11-13,2025-26,Paid,Cash,60,62160.0,62160.0,46620.0,24BBBCD2345G1Z2,IGST,Karnataka,6660.0,7.5,INR,ORTHO CARE CENTER,Orthopedic Clinic,Dr. R. Kulkarni,Trauma Surgeon,SURG-003,24FGHIJ5678K1Z2,Pune,WEST 1,A. Verma,Trauma Supplies LLP,WEST 1,Cancellous Screw,Orthopedic Implant,Screw,B2193-B,L64321,UDI-598216-C,SN991014,Sterile,14-10-2026,15 Aug 2025,5,Box,12000,"14,400.00",Fracture Fixation,Stainless Steel,OrthoFlex,Pune WH,17 Oct 2025,Delivered,Blue Dart,In Stock,10,30,No,Freight included; round-off applied,Unicode NBSP present,f880bebbf0edd1032b94372261221d96
INV/1003,VCH1003,Sales Return,2025-10-14,2025-11-28,2025-26,Pending,cash,15,23940.0,23940.0,17955.0,24BBBCD2345G1Z2,IGST,Maharashtra,2565.0,0.05,₹,city medisurg pvt. ltd.,Multi-Specialty Hospital,dr. r. kulkarni,Trauma Surgeon,SURG-003,24FGHIJ5678K1Z2,Surat,South,S. Joshi,Trauma Supplies LLP,Central-1,External Fixator,Trauma Fixation,Fixator,B8633-B,L18161,UDI-527398-B,SN668969,STERILE,04 Oct 2027,16 Jul 2025,5 PCS,pcs,4500.00,"₹5,175.00",Trauma Stabilization,Aluminium,SpinePro,Pune WH,45945,Delivered,Delhivery,In Stock,10,0,Pending,"Invoice for orthopedic implants, includes ""plate, screw"" bundle",Alias master matched,de4b6ae5d55ce6de98b08f8eb5898abe
INV/1004,VCH1004,Payment,2024-12-23,2025-02-06,2024-25,Pending,UPI,30,49728.0,49728.0,49728.0,24BBBCD2345G1Z2,IGST,Karnataka,5328.0,0.07,INR,Trauma One,Trauma Center,DR MEERA IYER,Joint Replacement Surgeon,SURG-002,24FGHIJ5678K1Z2,Nagpur,West,A. Verma,Ortho Distributors,CENTRAL 1,Knee Prosthesis,Joint Replacement,Prosthesis,B3496-A,L26544,UDI-979995-A,SN751517,STERILE,2025/12/23,25 Aug 2024,4,BOX,"12,000.00","₹14,400.00",Arthroplasty,Cobalt Chrome,BoneLock,Pune Main,23-12-2024,Delivered,Delhivery,Low Stock,25,0,No,"Invoice for orthopedic implants, includes ""plate, screw"" bundle",Trailing space preserved,02a1b658256adebf03f4757313e98b30
